fold,cut,model,train_rows,n,mae,rmse,bias,mape_nonzero
11,2025-07-17,linear_regression,66944,1152,3.343272855694957,7.148077737413546,0.9077267599648293,79.27558587693588
11,2025-07-17,ridge,66944,1152,3.3456178123732667,7.145645230344855,0.9169335048704791,79.46035826121077
11,2025-07-17,gradient_boosting,66944,1152,3.1483390843147805,7.249334418418245,0.4976777430172554,61.18362494738931
12,2025-10-15,naive_last,68096,1024,5.9375,13.698910768743623,-1.279296875,74.80894954936926
12,2025-10-15,naive_mean_7,68096,1024,6.0511997767857135,15.228174595095911,-1.6259765625,57.447976912898554
12,2025-10-15,naive_mean_28,68096,1024,6.483816964285714,18.161497137528798,-3.172014508928571,53.80039212485439
12,2025-10-15,linear_regression,68096,1024,5.626981564879404,12.510100958778171,-1.8000834422344028,66.39626298235754
12,2025-10-15,ridge,68096,1024,5.616332268479414,12.458106695918962,-1.8130973245371864,66.39249598125126
12,2025-10-15,gradient_boosting,68096,1024,6.223116322869842,18.262157526345163,-2.324232744567759,56.057224942440776
14,2026-04-13,naive_last,69120,576,0.5,1.5898986690282426,0.10416666666666667,89.86254295532645
14,2026-04-13,naive_mean_7,69120,576,0.38764880952380953,0.9272923119200503,0.03546626984126981,55.84315169366717
14,2026-04-13,naive_mean_28,69120,576,0.41920882936507936,1.2431439315738317,-0.04507688492063492,55.4620765832106
14,2026-04-13,linear_regression,69120,576,0.5931397733101104,1.811714771855516,0.30260538626545114,83.79741311593622
14,2026-04-13,ridge,69120,576,0.5899434619713013,1.8055372822041746,0.30078303405320767,83.5358586215503
14,2026-04-13,gradient_boosting,69120,576,0.5750251164425051,1.6720586631476186,0.26577002598663824,68.25659134831628
