fold,cut,model,tier,n,mae,rmse,bias,mape_nonzero
6,2024-04-23,gradient_boosting,medium,1537,0.19740793620525302,0.3911298620685118,0.10837136371625598,76.62024798003493
6,2024-04-23,gradient_boosting,low,477,0.11133470033229186,0.1341543619496455,0.11133470033229186,
7,2024-07-22,naive_last,high,1300,10.573846153846153,23.2261457446957,-2.876923076923077,66.73261758617477
7,2024-07-22,naive_last,medium,1404,3.841880341880342,7.580714772845399,-0.7022792022792023,96.58158270970632
7,2024-07-22,naive_last,low,624,1.125,2.3885410201895643,-0.16025641025641027,93.00355286180027
7,2024-07-22,naive_mean_7,high,1300,10.97989010989011,25.499043291684664,-4.084065934065935,55.55762221500126
7,2024-07-22,naive_mean_7,medium,1404,3.650997150997151,6.640993651120685,-1.0122100122100122,73.70574881100339
7,2024-07-22,naive_mean_7,low,624,1.046474358974359,2.0544252883242367,-0.22275641025641027,68.74389724168812
7,2024-07-22,naive_mean_28,high,1300,12.969313186813189,33.47260508841556,-8.568543956043957,58.337996084059306
7,2024-07-22,naive_mean_28,medium,1404,3.7311253561253563,6.876362457431093,-1.9672364672364673,71.13331592911878
7,2024-07-22,naive_mean_28,low,624,1.03125,2.092836124236552,-0.43681318681318676,71.07776510022461
7,2024-07-22,linear_regression,high,1300,10.350662211031477,20.351390943160045,0.7801071141017776,70.09481565742625
7,2024-07-22,linear_regression,medium,1404,3.892126418322534,7.18229318271169,0.13295480127007658,91.60014517521685
7,2024-07-22,linear_regression,low,624,1.5772354355203695,2.7559688091351204,0.46771492103108797,103.4286888540231
7,2024-07-22,ridge,high,1300,10.359362143542805,20.358615833965654,0.7927996479227144,70.00771708607046
7,2024-07-22,ridge,medium,1404,3.8903393782480666,7.1778352155638325,0.1359436923998502,91.37419777021488
7,2024-07-22,ridge,low,624,1.5772442904834598,2.746199602119789,0.46655559697092924,102.78835371750235
7,2024-07-22,gradient_boosting,high,1300,9.528973223627167,21.68569848885178,-2.801177352364489,53.297500574484324
7,2024-07-22,gradient_boosting,medium,1404,3.4220201667633168,6.230658521549286,-0.7956686278787479,68.86873897810352
7,2024-07-22,gradient_boosting,low,624,1.1390468667269469,2.0189824267251106,0.019925884109287795,66.36643567463992
8,2024-10-20,naive_last,high,2225,6.638651685393258,15.274521636894395,2.5685393258426967,93.33674348801566
8,2024-10-20,naive_last,medium,2492,2.813804173354735,6.136489289697181,0.42937399678972715,98.06784336145087
8,2024-10-20,naive_last,low,979,0.8038815117466803,1.8301191374337424,0.09090909090909091,98.27247002879915
8,2024-10-20,naive_mean_7,high,2225,7.4193258426966295,19.388977689882157,3.601797752808989,87.5105819917578
8,2024-10-20,naive_mean_7,medium,2492,2.692788351295574,5.576493766993561,0.6160857601467553,74.54081696571576
8,2024-10-20,naive_mean_7,low,979,0.8110316649642493,1.6178168327501414,0.12374142711221359,68.99780114065828
8,2024-10-20,naive_mean_28,high,2225,10.946693418940608,28.804856451936942,6.994077046548957,150.76242127805395
8,2024-10-20,naive_mean_28,medium,2492,3.2178542765420777,6.00373754295759,1.1420689062141711,91.0715841112992
8,2024-10-20,naive_mean_28,low,979,0.9457172041441705,1.7016029092775349,0.23391215526046988,68.48405234424673
8,2024-10-20,linear_regression,high,2225,6.646915371754444,14.626827771958347,2.717511759743789,84.72239198553864
8,2024-10-20,linear_regression,medium,2492,2.5821527441691585,5.7140701303993024,0.17810895412821873,81.29560034775932
8,2024-10-20,linear_regression,low,979,0.6894676431206614,1.7230917565729331,-0.2425850821829306,93.63476382300458
8,2024-10-20,ridge,high,2225,6.639857648119047,14.641147040931896,2.7101697893652394,84.48970490993844
8,2024-10-20,ridge,medium,2492,2.575612108178051,5.692329746610092,0.16400122489108435,81.13587003701771
8,2024-10-20,ridge,low,979,0.6866797774861133,1.7171654255175883,-0.24824437828492368,93.53578343456186
8,2024-10-20,gradient_boosting,high,2225,6.17667764520335,17.438002343800854,-1.4837507976288242,63.84486731025284
8,2024-10-20,gradient_boosting,medium,2492,2.3436282550915575,4.8286646476297275,-0.06970052535311672,65.80864468807412
8,2024-10-20,gradient_boosting,low,979,0.6862064649522094,1.487573337454337,-0.03910025735582602,71.23407698641962
9,2025-01-18,naive_last,high,775,0.48258064516129034,1.2318357661793675,-0.025806451612903226,93.71428571428571
9,2025-01-18,naive_last,medium,899,0.13681868743047831,0.5047053347966428,-0.0055617352614015575,93.33333333333333
9,2025-01-18,naive_last,low,310,0.0,0.0,0.0,
9,2025-01-18,naive_mean_7,high,775,0.4611981566820277,0.9834710332318164,-0.0357603686635945,71.96327810120914
9,2025-01-18,naive_mean_7,medium,899,0.13078023200381375,0.3978615284587887,-0.005879548704910233,83.12996031746032
9,2025-01-18,naive_mean_7,low,310,0.005990783410138246,0.03142438179028998,0.005990783410138246,
9,2025-01-18,naive_mean_28,high,775,0.508110599078341,1.2261792163890282,0.03797235023041471,68.31522028874247
9,2025-01-18,naive_mean_28,medium,899,0.14583664389003656,0.39835512573820653,0.01171937072938183,80.37078373015873
9,2025-01-18,naive_mean_28,low,310,0.005875576036866357,0.02194088052733254,0.005875576036866357,
9,2025-01-18,linear_regression,high,775,0.5085403252764586,1.1014672040133346,0.03666927473118018,86.15322795269462
9,2025-01-18,linear_regression,medium,899,0.1452194412826223,0.454825748944212,0.015408432657707081,81.94177083681474
9,2025-01-18,linear_regression,low,310,0.00920830861828164,0.03964389164575907,0.00920830861828164,
9,2025-01-18,ridge,high,775,0.5070188139195665,1.0990071739958724,0.035662373385439726,86.06299938826962
9,2025-01-18,ridge,medium,899,0.14463352771352944,0.45442523927429707,0.014539017604236948,82.12110367473281
9,2025-01-18,ridge,low,310,0.009344496909234367,0.0398121132155486,0.009344496909234367,
9,2025-01-18,gradient_boosting,high,775,0.4469912017468943,0.9475546927047843,-0.051576602890605415,68.38040112784621
9,2025-01-18,gradient_boosting,medium,899,0.17023989295495215,0.4003356964542784,0.03194802347936745,83.31534585441256
9,2025-01-18,gradient_boosting,low,310,0.07651341823213742,0.08842150201002927,0.07651341823213742,
