District,Month,Patients
Khulna,25/11/2019,17
Rangpur,25/11/2019,3
Rajshahi,25/11/2019,4
Barishal,25/11/2019,5
Sylet,25/11/2019,0
Mymensingh,25/11/2019,1
Dhaka,26/11/2019,55
Chottogram,26/11/2019,12
Khulna,26/11/2019,14
Rangpur,26/11/2019,1
Rajshahi,26/11/2019,5
Barishal,26/11/2019,5
Sylet,26/11/2019,1
Mymensingh,26/11/2019,5
Dhaka,27/11/2019,58
Chottogram,27/11/2019,21
Khulna,27/11/2019,15
Rangpur,27/11/2019,0
Rajshahi,27/11/2019,4
Barishal,27/11/2019,9
Sylet,27/11/2019,0
Mymensingh,27/11/2019,1
Dhaka,28/11/2019,50
Chottogram,28/11/2019,10
Khulna,28/11/2019,14
Rangpur,28/11/2019,1
Rajshahi,28/11/2019,2
Barishal,28/11/2019,5
Sylet,28/11/2019,0
Mymensingh,28/11/2019,3
Dhaka,29/11/2019,49
Chottogram,29/11/2019,6
Khulna,29/11/2019,11
Rangpur,29/11/2019,1
Rajshahi,29/11/2019,2
Barishal,29/11/2019,4
Sylet,29/11/2019,0
Mymensingh,29/11/2019,0
Dhaka,30/11/2019,56
Chottogram,30/11/2019,10
Khulna,30/11/2019,10
Rangpur,30/11/2019,1
Rajshahi,30/11/2019,2
Barishal,30/11/2019,4
Sylet,30/11/2019,2
Mymensingh,30/11/2019,1
Dhaka,1/12/2019,55
Chottogram,1/12/2019,10
Khulna,1/12/2019,10
Rangpur,1/12/2019,6
Rajshahi,1/12/2019,6
Barishal,1/12/2019,6
Sylet,1/12/2019,0
Mymensingh,1/12/2019,1
Dhaka,2/12/2019,53
Chottogram,2/12/2019,8
Khulna,2/12/2019,12
Rangpur,2/12/2019,3
Rajshahi,2/12/2019,2
Barishal,2/12/2019,1
Sylet,2/12/2019,0
Mymensingh,2/12/2019,2
Dhaka,3/12/2019,48
Chottogram,3/12/2019,12
Khulna,3/12/2019,9
Rangpur,3/12/2019,2
Rajshahi,3/12/2019,0
Barishal,3/12/2019,7
Sylet,3/12/2019,0
Mymensingh,3/12/2019,1
Dhaka,4/12/2019,45
Chottogram,4/12/2019,14
Khulna,4/12/2019,12
Rangpur,4/12/2019,0
Rajshahi,4/12/2019,1
Barishal,4/12/2019,3
Sylet,4/12/2019,0
Mymensingh,4/12/2019,0
Dhaka,5/12/2019,61
Chottogram,5/12/2019,6
Khulna,5/12/2019,12
Rangpur,5/12/2019,1
Rajshahi,5/12/2019,2
Barishal,5/12/2019,6
Sylet,5/12/2019,0
Mymensingh,5/12/2019,0
Dhaka,6/12/2019,32
Chottogram,6/12/2019,3
Khulna,6/12/2019,4
Rangpur,6/12/2019,0
Rajshahi,6/12/2019,0
Barishal,6/12/2019,4
Sylet,6/12/2019,0
Mymensingh,6/12/2019,0
Dhaka,7/12/2019,31
Chottogram,7/12/2019,7
Khulna,7/12/2019,5
Rangpur,7/12/2019,0
Rajshahi,7/12/2019,1
Barishal,7/12/2019,0
Sylet,7/12/2019,0
Mymensingh,7/12/2019,2
Dhaka,8/12/2019,38
Chottogram,8/12/2019,7
Khulna,8/12/2019,9
Rangpur,8/12/2019,1
Rajshahi,8/12/2019,2
Barishal,8/12/2019,5
Sylet,8/12/2019,0
Mymensingh,8/12/2019,0
Dhaka,9/12/2019,45
Chottogram,9/12/2019,13
Khulna,9/12/2019,6
Rangpur,9/12/2019,0
Rajshahi,9/12/2019,0
Barishal,9/12/2019,2
Sylet,9/12/2019,0
Mymensingh,9/12/2019,1
Dhaka,10/12/2019,30
Chottogram,10/12/2019,7
Khulna,10/12/2019,7
Rangpur,10/12/2019,0
Rajshahi,10/12/2019,0
Barishal,10/12/2019,3
Sylet,10/12/2019,1
Mymensingh,10/12/2019,2
Dhaka,11/12/2019,27
Chottogram,11/12/2019,4
Khulna,11/12/2019,2
Rangpur,11/12/2019,2
Rajshahi,11/12/2019,0
Barishal,11/12/2019,1
Sylet,11/12/2019,0
Mymensingh,11/12/2019,0
Dhaka,12/12/2019,34
Chottogram,12/12/2019,7
Khulna,12/12/2019,6
Rangpur,12/12/2019,0
Rajshahi,12/12/2019,1
Barishal,12/12/2019,2
Sylet,12/12/2019,0
Mymensingh,12/12/2019,1
Dhaka,13/12/2019,29
Chottogram,13/12/2019,5
Khulna,13/12/2019,6
Rangpur,13/12/2019,0
Rajshahi,13/12/2019,1
Barishal,13/12/2019,1
Sylet,13/12/2019,0
Mymensingh,13/12/2019,2
Dhaka,14/12/2019,28
Chottogram,14/12/2019,8
Khulna,14/12/2019,3
Rangpur,14/12/2019,0
Rajshahi,14/12/2019,0
Barishal,14/12/2019,2
Sylet,14/12/2019,0
Mymensingh,14/12/2019,1
Dhaka,15/12/2019,26
Chottogram,15/12/2019,7
Khulna,15/12/2019,2
Rangpur,15/12/2019,0
Rajshahi,15/12/2019,0
Barishal,15/12/2019,1
Sylet,15/12/2019,0
Mymensingh,15/12/2019,1
Dhaka,16/12/2019,16
Chottogram,16/12/2019,4
Khulna,16/12/2019,2
Rangpur,16/12/2019,0
Rajshahi,16/12/2019,0
Barishal,16/12/2019,2
Sylet,16/12/2019,0
Mymensingh,16/12/2019,1
Dhaka,17/12/2019,33
Chottogram,17/12/2019,7
Khulna,17/12/2019,5
Rangpur,17/12/2019,1
Rajshahi,17/12/2019,1
Barishal,17/12/2019,0
Sylet,17/12/2019,2
Mymensingh,17/12/2019,0
Dhaka,18/12/2019,24
Chottogram,18/12/2019,5
Khulna,18/12/2019,3
Rangpur,18/12/2019,0
Rajshahi,18/12/2019,1
Barishal,18/12/2019,2
Sylet,18/12/2019,0
Mymensingh,18/12/2019,2
Dhaka,19/12/2019,17
Chottogram,19/12/2019,6
Khulna,19/12/2019,5
Rangpur,19/12/2019,0
Rajshahi,19/12/2019,1
Barishal,19/12/2019,3
Sylet,19/12/2019,0
Mymensingh,19/12/2019,0
Dhaka,20/12/2019,21
Chottogram,20/12/2019,4
Khulna,20/12/2019,3
Rangpur,20/12/2019,0
Rajshahi,20/12/2019,0
Barishal,20/12/2019,1
Sylet,20/12/2019,0
Mymensingh,20/12/2019,0
Dhaka,21/12/2019,11
Chottogram,21/12/2019,2
Khulna,21/12/2019,2
Rangpur,21/12/2019,0
Rajshahi,21/12/2019,0
Barishal,21/12/2019,0
Sylet,21/12/2019,0
Mymensingh,21/12/2019,1
Dhaka,22/12/2019,11
Chottogram,22/12/2019,4
Khulna,22/12/2019,0
Rangpur,22/12/2019,1
Rajshahi,22/12/2019,0
Barishal,22/12/2019,2
Sylet,22/12/2019,0
Mymensingh,22/12/2019,1
Dhaka,23/12/2019,24
Chottogram,23/12/2019,6
Khulna,23/12/2019,4
Rangpur,23/12/2019,0
Rajshahi,23/12/2019,0
Barishal,23/12/2019,0
Sylet,23/12/2019,0
Mymensingh,23/12/2019,1
Dhaka,24/12/2019,9
Chottogram,24/12/2019,3
Khulna,24/12/2019,0
Rangpur,24/12/2019,0
Rajshahi,24/12/2019,0
Barishal,24/12/2019,0
Sylet,24/12/2019,0
Mymensingh,24/12/2019,0
Dhaka,25/12/2019,12
Chottogram,25/12/2019,4
Khulna,25/12/2019,1
Rangpur,25/12/2019,0
Rajshahi,25/12/2019,0
Barishal,25/12/2019,0
Sylet,25/12/2019,0
Mymensingh,25/12/2019,0
Dhaka,26/12/2019,17
Chottogram,26/12/2019,7
Khulna,26/12/2019,0
Rangpur,26/12/2019,0
Rajshahi,26/12/2019,0
Barishal,26/12/2019,0
Sylet,26/12/2019,0
Mymensingh,26/12/2019,0
Dhaka,27/12/2019,14
Chottogram,27/12/2019,6
Khulna,27/12/2019,2
Rangpur,27/12/2019,0
Rajshahi,27/12/2019,0
Barishal,27/12/2019,0
Sylet,27/12/2019,0
Mymensingh,27/12/2019,0
Dhaka,28/12/2019,7
Chottogram,28/12/2019,1
Khulna,28/12/2019,0
Rangpur,28/12/2019,1
Rajshahi,28/12/2019,0
Barishal,28/12/2019,1
Sylet,28/12/2019,0
