date,division,district,sarkari_24h,besarkari_24h,admissions_24h,cumulative_total,cumulative_deaths,cumulative_discharged,source,date_source
2021-12-15,েরি াল রেভাগ,রপমিাজপুি,0,0,0,27,0,27,wayback_dghs_pdf,pdf_text
2021-12-15,েরি াল রেভাগ,েিগুনা,1,0,1,77,0,76,wayback_dghs_pdf,pdf_text
2021-12-15,েরি াল রেভাগ,িালকাঠি,0,0,0,10,0,1,wayback_dghs_pdf,pdf_text
2021-12-15,রসমলট রেভাগ,রসমলট,0,0,0,25,0,25,wayback_dghs_pdf,pdf_text
2021-12-15,রসমলট রেভাগ,সুনা গঞ্জ,0,0,0,0,0,0,wayback_dghs_pdf,pdf_text
2021-12-15,রসমলট রেভাগ,হরেগঞ্জ,0,0,0,18,0,18,wayback_dghs_pdf,pdf_text
2021-12-15,রসমলট রেভাগ,ব ৌলভীোজাি,0,0,0,4,0,4,wayback_dghs_pdf,pdf_text
2021-12-16,ঢাকা হানগি,ঢাকা হানগি,8,4,12,23467,92,23276,wayback_dghs_pdf,pdf_text
2021-12-16,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),ঢাকা,0,0,0,8,0,8,wayback_dghs_pdf,pdf_text
2021-12-16,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),ফরিদপুি,0,0,0,52,0,52,wayback_dghs_pdf,pdf_text
2021-12-16,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),গাজীপুি,0,0,0,1118,0,1114,wayback_dghs_pdf,pdf_text
2021-12-16,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),বগাপালগঞ্জ,0,0,0,4,0,4,wayback_dghs_pdf,pdf_text
2021-12-16,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),রকম ািগঞ্জ,0,0,0,80,0,80,wayback_dghs_pdf,pdf_text
2021-12-16,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),াদািীপুি,0,0,0,95,0,95,wayback_dghs_pdf,pdf_text
2021-12-16,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),ারনকগঞ্জ,0,0,0,127,0,127,wayback_dghs_pdf,pdf_text
2021-12-16,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),মুরিরগঞ্জ,0,0,0,32,0,32,wayback_dghs_pdf,pdf_text
2021-12-16,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),নািায়ণগঞ্জ,0,0,0,1,0,1,wayback_dghs_pdf,pdf_text
2021-12-16,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),নিরসিংদী,0,0,0,43,0,43,wayback_dghs_pdf,pdf_text
2021-12-16,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),িাজোড়ী,0,0,0,18,0,18,wayback_dghs_pdf,pdf_text
2021-12-16,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),িীয়তপুি,0,0,0,66,0,66,wayback_dghs_pdf,pdf_text
2021-12-16,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),টাঙ্গাইল,0,0,0,71,0,71,wayback_dghs_pdf,pdf_text
2021-12-16,য় নরসিংহ রেভাগ,য় নরসিংহ,1,0,1,249,2,245,wayback_dghs_pdf,pdf_text
2021-12-16,য় নরসিংহ রেভাগ,জা ালপুি,0,0,0,23,1,22,wayback_dghs_pdf,pdf_text
2021-12-16,য় নরসিংহ রেভাগ,ব িপুি,0,0,0,20,0,20,wayback_dghs_pdf,pdf_text
2021-12-16,য় নরসিংহ রেভাগ,বনত্রমকানা,0,0,0,16,0,16,wayback_dghs_pdf,pdf_text
