date,division,district,rain_mm,temp_mean_c,temp_max_c,humidity_pct
2021-06-05,Chattogram,Chattogram,23.17,29.14,30.85,89.5
2021-06-05,Khulna,Chuadanga,1.76,30.36,34.85,78.78
2021-06-05,Chattogram,Cox's Bazar,24.97,29.7,30.54,86.81
2021-06-05,Chattogram,Cumilla,57.23,28.84,31.16,91.43
2021-06-05,Dhaka,Dhaka,19.12,29.12,32.19,88.22
2021-06-05,Rangpur,Dinajpur,5.44,30.31,35.15,77.86
2021-06-05,Dhaka,Faridpur,11.31,29.31,32.04,87.26
2021-06-05,Chattogram,Feni,17.64,29.25,32.05,90.34
2021-06-05,Rangpur,Gaibandha,9.0,29.96,33.96,81.07
2021-06-05,Dhaka,Gazipur,37.86,28.85,31.46,91.12
2021-06-05,Dhaka,Gopalganj,6.4,29.53,32.24,86.9
2021-06-05,Sylhet,Habiganj,67.5,28.37,30.41,93.27
2021-06-05,Mymensingh,Jamalpur,23.92,29.1,32.01,88.8
2021-06-05,Khulna,Jashore,2.61,29.73,32.76,84.58
2021-06-05,Barishal,Jhalokati,7.81,29.84,32.6,86.71
2021-06-05,Khulna,Jhenaidah,4.56,29.69,33.1,83.59
2021-06-05,Rajshahi,Joypurhat,10.22,29.95,33.94,82.46
2021-06-05,Chattogram,Khagrachhari,17.28,28.29,31.19,91.43
2021-06-05,Khulna,Khulna,2.55,29.93,32.86,85.42
2021-06-05,Dhaka,Kishoreganj,67.5,28.37,30.41,93.27
2021-06-05,Rangpur,Kurigram,13.4,29.25,32.62,84.33
2021-06-05,Khulna,Kushtia,3.79,30.58,35.27,77.56
2021-06-05,Chattogram,Lakshmipur,13.82,29.51,32.07,88.37
2021-06-05,Rangpur,Lalmonirhat,12.3,29.75,33.96,81.24
2021-06-05,Dhaka,Madaripur,6.4,29.53,32.24,86.9
2021-06-05,Khulna,Magura,4.56,29.69,33.1,83.59
2021-06-05,Dhaka,Manikganj,19.12,29.12,32.19,88.22
2021-06-05,Khulna,Meherpur,3.79,30.58,35.27,77.56
2021-06-05,Sylhet,Moulvibazar,69.33,27.76,29.57,94.37
2021-06-05,Dhaka,Munshiganj,23.56,29.17,31.43,89.63
2021-06-05,Mymensingh,Mymensingh,45.14,28.74,31.27,91.94
2021-06-05,Rajshahi,Naogaon,4.62,30.45,35.36,78.04
2021-06-05,Khulna,Narail,2.61,29.73,32.76,84.58
2021-06-05,Dhaka,Narayanganj,23.56,29.17,31.43,89.63
2021-06-05,Dhaka,Narsingdi,37.86,28.85,31.46,91.12
2021-06-05,Rajshahi,Natore,10.4,29.93,33.91,82.68
2021-06-05,Mymensingh,Netrokona,43.62,28.29,30.61,93.2
2021-06-05,Rangpur,Nilphamari,9.32,30.01,34.79,78.18
2021-06-05,Chattogram,Noakhali,23.32,29.79,30.9,89.34
2021-06-05,Rajshahi,Pabna,7.91,29.77,33.51,83.18
2021-06-05,Rangpur,Panchagarh,16.89,29.5,33.72,77.81
2021-06-05,Barishal,Patuakhali,26.07,29.88,30.79,89.62
2021-06-05,Barishal,Pirojpur,7.81,29.84,32.6,86.71
2021-06-05,Dhaka,Rajbari,4.56,29.69,33.1,83.59
2021-06-05,Rajshahi,Rajshahi,4.93,30.59,35.38,77.71
2021-06-05,Chattogram,Rangamati,22.8,26.51,29.07,91.73
2021-06-05,Rangpur,Rangpur,9.0,29.96,33.96,81.07
2021-06-05,Khulna,Satkhira,2.55,29.93,32.86,85.42
2021-06-05,Dhaka,Shariatpur,13.82,29.51,32.07,88.37
2021-06-05,Mymensingh,Sherpur,23.92,29.1,32.01,88.8
2021-06-05,Rajshahi,Sirajganj,10.4,29.93,33.91,82.68
2021-06-05,Sylhet,Sunamganj,56.7,27.85,30.19,94.19
2021-06-05,Sylhet,Sylhet,57.89,27.28,29.26,94.43
2021-06-05,Dhaka,Tangail,24.54,29.16,32.32,88.3
2021-06-05,Rangpur,Thakurgaon,4.13,30.41,35.65,75.38
2021-06-06,Khulna,Bagerhat,23.22,29.68,32.48,87.66
2021-06-06,Chattogram,Bandarban,43.51,26.57,29.04,92.8
2021-06-06,Barishal,Barguna,17.78,29.72,31.35,88.57
2021-06-06,Barishal,Barishal,39.1,29.37,31.79,89.28
2021-06-06,Barishal,Bhola,35.97,29.43,31.48,89.49
2021-06-06,Rajshahi,Bogura,19.46,29.68,33.32,83.34
2021-06-06,Chattogram,Brahmanbaria,23.42,28.86,31.75,89.98
2021-06-06,Chattogram,Chandpur,42.06,29.31,31.99,89.25
2021-06-06,Rajshahi,Chapai Nawabganj,2.26,31.03,35.75,72.86
2021-06-06,Chattogram,Chattogram,43.36,28.86,30.88,88.88
2021-06-06,Khulna,Chuadanga,9.99,30.02,34.07,80.99
2021-06-06,Chattogram,Cox's Bazar,38.66,29.5,30.22,89.36
2021-06-06,Chattogram,Cumilla,26.65,28.8,31.43,90.9
2021-06-06,Dhaka,Dhaka,34.22,29.11,31.79,89.22
2021-06-06,Rangpur,Dinajpur,12.66,29.88,34.5,78.35
2021-06-06,Dhaka,Faridpur,33.73,29.31,32.16,88.76
2021-06-06,Chattogram,Feni,54.73,28.9,31.26,91.01
2021-06-06,Rangpur,Gaibandha,24.06,29.64,33.53,82.26
2021-06-06,Dhaka,Gazipur,40.19,29.1,31.74,89.92
2021-06-06,Dhaka,Gopalganj,28.82,29.49,32.57,88.27
2021-06-06,Sylhet,Habiganj,23.02,28.91,31.76,90.46
2021-06-06,Mymensingh,Jamalpur,32.57,29.04,31.89,88.31
2021-06-06,Khulna,Jashore,17.14,29.65,33.1,86.49
2021-06-06,Barishal,Jhalokati,23.22,29.68,32.48,87.66
2021-06-06,Khulna,Jhenaidah,18.24,29.47,32.59,86.24
2021-06-06,Rajshahi,Joypurhat,19.46,29.68,33.32,83.34
2021-06-06,Chattogram,Khagrachhari,56.08,27.83,30.28,92.1
