date,division,district,admissions,source,is_estimated
2022-07-01,Chattogram,Bandarban,0.0,dghs_pdf,False
2022-07-01,Chattogram,Brahmanbaria,0.0,dghs_pdf,False
2022-07-01,Chattogram,Chandpur,0.0,dghs_pdf,False
2022-07-01,Chattogram,Chattogram,3.0,dghs_pdf,False
2022-07-01,Chattogram,Cox's Bazar,0.0,dghs_pdf,False
2022-07-01,Chattogram,Cumilla,0.0,dghs_pdf,False
2022-07-01,Chattogram,Feni,0.0,dghs_pdf,False
2022-07-01,Chattogram,Khagrachhari,0.0,dghs_pdf,False
2022-07-01,Chattogram,Lakshmipur,0.0,dghs_pdf,False
2022-07-01,Chattogram,Noakhali,0.0,dghs_pdf,False
2022-07-01,Chattogram,Rangamati,0.0,dghs_pdf,False
2022-07-01,Dhaka,Dhaka,19.0,dghs_pdf,False
2022-07-01,Dhaka,Faridpur,0.0,dghs_pdf,False
2022-07-01,Dhaka,Gazipur,0.0,dghs_pdf,False
2022-07-01,Dhaka,Gopalganj,0.0,dghs_pdf,False
2022-07-01,Dhaka,Kishoreganj,0.0,dghs_pdf,False
2022-07-01,Dhaka,Madaripur,0.0,dghs_pdf,False
2022-07-01,Dhaka,Manikganj,0.0,dghs_pdf,False
2022-07-01,Dhaka,Munshiganj,0.0,dghs_pdf,False
2022-07-01,Dhaka,Narayanganj,0.0,dghs_pdf,False
2022-07-01,Dhaka,Narsingdi,0.0,dghs_pdf,False
2022-07-01,Dhaka,Rajbari,0.0,dghs_pdf,False
2022-07-01,Dhaka,Shariatpur,0.0,dghs_pdf,False
2022-07-01,Dhaka,Tangail,0.0,dghs_pdf,False
2022-07-01,Khulna,Bagerhat,0.0,dghs_pdf,False
2022-07-01,Khulna,Chuadanga,0.0,dghs_pdf,False
2022-07-01,Khulna,Jashore,0.0,dghs_pdf,False
2022-07-01,Khulna,Jhenaidah,0.0,dghs_pdf,False
2022-07-01,Khulna,Khulna,0.0,dghs_pdf,False
2022-07-01,Khulna,Kushtia,0.0,dghs_pdf,False
2022-07-01,Khulna,Magura,0.0,dghs_pdf,False
2022-07-01,Khulna,Meherpur,0.0,dghs_pdf,False
2022-07-01,Khulna,Narail,0.0,dghs_pdf,False
2022-07-01,Khulna,Satkhira,0.0,dghs_pdf,False
2022-07-01,Mymensingh,Jamalpur,0.0,dghs_pdf,False
2022-07-01,Mymensingh,Mymensingh,0.0,dghs_pdf,False
2022-07-01,Mymensingh,Netrokona,0.0,dghs_pdf,False
2022-07-01,Mymensingh,Sherpur,0.0,dghs_pdf,False
2022-07-01,Rajshahi,Bogura,0.0,dghs_pdf,False
2022-07-01,Rajshahi,Chapai Nawabganj,0.0,dghs_pdf,False
2022-07-01,Rajshahi,Joypurhat,0.0,dghs_pdf,False
2022-07-01,Rajshahi,Naogaon,0.0,dghs_pdf,False
2022-07-01,Rajshahi,Natore,0.0,dghs_pdf,False
2022-07-01,Rajshahi,Pabna,0.0,dghs_pdf,False
2022-07-01,Rajshahi,Rajshahi,0.0,dghs_pdf,False
2022-07-01,Rajshahi,Sirajganj,0.0,dghs_pdf,False
2022-07-01,Rangpur,Dinajpur,0.0,dghs_pdf,False
2022-07-01,Rangpur,Gaibandha,0.0,dghs_pdf,False
2022-07-01,Rangpur,Kurigram,0.0,dghs_pdf,False
2022-07-01,Rangpur,Lalmonirhat,0.0,dghs_pdf,False
2022-07-01,Rangpur,Nilphamari,0.0,dghs_pdf,False
2022-07-01,Rangpur,Panchagarh,0.0,dghs_pdf,False
2022-07-01,Rangpur,Rangpur,0.0,dghs_pdf,False
2022-07-01,Rangpur,Thakurgaon,0.0,dghs_pdf,False
2022-07-01,Sylhet,Habiganj,0.0,dghs_pdf,False
2022-07-01,Sylhet,Moulvibazar,0.0,dghs_pdf,False
2022-07-01,Sylhet,Sunamganj,0.0,dghs_pdf,False
2022-07-01,Sylhet,Sylhet,0.0,dghs_pdf,False
2022-07-02,Barishal,Barguna,0.0,dghs_pdf,False
2022-07-02,Barishal,Barishal,0.0,dghs_pdf,False
2022-07-02,Barishal,Bhola,0.0,dghs_pdf,False
2022-07-02,Barishal,Jhalokati,0.0,dghs_pdf,False
2022-07-02,Barishal,Patuakhali,0.0,dghs_pdf,False
2022-07-02,Barishal,Pirojpur,0.0,dghs_pdf,False
2022-07-02,Chattogram,Bandarban,0.0,dghs_pdf,False
2022-07-02,Chattogram,Brahmanbaria,0.0,dghs_pdf,False
2022-07-02,Chattogram,Chandpur,0.0,dghs_pdf,False
2022-07-02,Chattogram,Chattogram,1.0,dghs_pdf,False
2022-07-02,Chattogram,Cox's Bazar,0.0,dghs_pdf,False
2022-07-02,Chattogram,Cumilla,0.0,dghs_pdf,False
2022-07-02,Chattogram,Feni,0.0,dghs_pdf,False
2022-07-02,Chattogram,Khagrachhari,0.0,dghs_pdf,False
2022-07-02,Chattogram,Lakshmipur,0.0,dghs_pdf,False
2022-07-02,Chattogram,Noakhali,0.0,dghs_pdf,False
2022-07-02,Chattogram,Rangamati,0.0,dghs_pdf,False
2022-07-02,Dhaka,Dhaka,47.0,dghs_pdf,False
2022-07-02,Dhaka,Faridpur,0.0,dghs_pdf,False
2022-07-02,Dhaka,Gazipur,0.0,dghs_pdf,False
2022-07-02,Dhaka,Gopalganj,0.0,dghs_pdf,False
2022-07-02,Dhaka,Kishoreganj,0.0,dghs_pdf,False
2022-07-02,Dhaka,Madaripur,0.0,dghs_pdf,False
2022-07-02,Dhaka,Manikganj,0.0,dghs_pdf,False
