date,district,division,admissions_est,division_admissions_observed,share_within_division,source,disaggregation_method
2019-11-12,Magura,Khulna,1.8038,30,0.060127,kaggle_shampabanik12,population_share_within_division
2019-11-12,Meherpur,Khulna,1.2316,30,0.041052,kaggle_shampabanik12,population_share_within_division
2019-11-12,Narail,Khulna,1.377,30,0.045901,kaggle_shampabanik12,population_share_within_division
2019-11-12,Satkhira,Khulna,3.8352,30,0.127841,kaggle_shampabanik12,population_share_within_division
2019-11-12,Jamalpur,Mymensingh,0.4089,2,0.204469,kaggle_shampabanik12,population_share_within_division
2019-11-12,Mymensingh,Mymensingh,0.965,2,0.48252,kaggle_shampabanik12,population_share_within_division
2019-11-12,Netrokona,Mymensingh,0.3803,2,0.190165,kaggle_shampabanik12,population_share_within_division
2019-11-12,Sherpur,Mymensingh,0.2457,2,0.122846,kaggle_shampabanik12,population_share_within_division
2019-11-12,Bogura,Rajshahi,0.9174,5,0.183476,kaggle_shampabanik12,population_share_within_division
2019-11-12,Chapai Nawabganj,Rajshahi,0.4509,5,0.090184,kaggle_shampabanik12,population_share_within_division
2019-11-12,Joypurhat,Rajshahi,0.235,5,0.046992,kaggle_shampabanik12,population_share_within_division
2019-11-12,Naogaon,Rajshahi,0.6841,5,0.136814,kaggle_shampabanik12,population_share_within_division
2019-11-12,Natore,Rajshahi,0.4569,5,0.091383,kaggle_shampabanik12,population_share_within_division
2019-11-12,Pabna,Rajshahi,0.7148,5,0.142957,kaggle_shampabanik12,population_share_within_division
2019-11-12,Rajshahi,Rajshahi,0.7161,5,0.143222,kaggle_shampabanik12,population_share_within_division
2019-11-12,Sirajganj,Rajshahi,0.8249,5,0.164973,kaggle_shampabanik12,population_share_within_division
2019-11-12,Dinajpur,Rangpur,0.0,0,0.188249,kaggle_shampabanik12,population_share_within_division
2019-11-12,Gaibandha,Rangpur,0.0,0,0.145491,kaggle_shampabanik12,population_share_within_division
2019-11-12,Kurigram,Rangpur,0.0,0,0.132256,kaggle_shampabanik12,population_share_within_division
2019-11-12,Lalmonirhat,Rangpur,0.0,0,0.081109,kaggle_shampabanik12,population_share_within_division
2019-11-12,Nilphamari,Rangpur,0.0,0,0.118822,kaggle_shampabanik12,population_share_within_division
2019-11-12,Panchagarh,Rangpur,0.0,0,0.066995,kaggle_shampabanik12,population_share_within_division
2019-11-12,Rangpur,Rangpur,0.0,0,0.17998,kaggle_shampabanik12,population_share_within_division
2019-11-12,Thakurgaon,Rangpur,0.0,0,0.087099,kaggle_shampabanik12,population_share_within_division
2019-11-12,Habiganj,Sylhet,0.2138,1,0.213767,kaggle_shampabanik12,population_share_within_division
2019-11-12,Moulvibazar,Sylhet,0.1924,1,0.192431,kaggle_shampabanik12,population_share_within_division
2019-11-12,Sunamganj,Sylhet,0.2443,1,0.244271,kaggle_shampabanik12,population_share_within_division
2019-11-12,Sylhet,Sylhet,0.3495,1,0.349532,kaggle_shampabanik12,population_share_within_division
2019-11-13,Barguna,Barishal,1.9988,18,0.111046,kaggle_shampabanik12,population_share_within_division
2019-11-13,Barishal,Barishal,5.0843,18,0.282464,kaggle_shampabanik12,population_share_within_division
2019-11-13,Bhola,Barishal,3.8225,18,0.212362,kaggle_shampabanik12,population_share_within_division
2019-11-13,Jhalokati,Barishal,1.3078,18,0.072654,kaggle_shampabanik12,population_share_within_division
2019-11-13,Patuakhali,Barishal,3.4165,18,0.189806,kaggle_shampabanik12,population_share_within_division
